Usage date,Interval,Total cost
8/23/2025,9:0 AM,"$0.17"
8/23/2025,10:0 AM,"$0.10"
8/23/2025,11:0 AM,"$0.10"
8/23/2025,12:0 PM,"$0.05"
8/23/2025,1:0 PM,"$0.05"
8/23/2025,2:0 PM,"$0.04"
8/23/2025,3:0 PM,"$0.05"
8/23/2025,4:0 PM,"$0.16"
8/23/2025,5:0 PM,"$0.12"
8/23/2025,6:0 PM,"$0.22"
8/23/2025,7:0 PM,"$0.46"
8/23/2025,8:0 PM,"$0.49"
8/23/2025,9:0 PM,"$0.39"
8/23/2025,10:0 PM,"$0.21"
8/23/2025,11:0 PM,"$0.20"
8/24/2025,12:0 AM,"$0.27"
8/24/2025,1:0 AM,"$0.13"
8/24/2025,2:0 AM,"$0.16"
8/24/2025,3:0 AM,"$0.14"
8/24/2025,4:0 AM,"$0.16"
8/24/2025,5:0 AM,"$0.11"
8/24/2025,6:0 AM,"$0.16"
8/24/2025,7:0 AM,"$0.14"
8/24/2025,8:0 AM,"$0.13"
8/24/2025,9:0 AM,"$0.24"
8/24/2025,10:0 AM,"$0.12"
8/24/2025,11:0 AM,"$0.16"
8/24/2025,12:0 PM,"$0.16"
8/24/2025,1:0 PM,"$0.05"
8/24/2025,2:0 PM,"$0.11"
8/24/2025,3:0 PM,"$0.04"
8/24/2025,4:0 PM,"$0.11"
8/24/2025,5:0 PM,"$0.48"
8/24/2025,6:0 PM,"$0.31"
8/24/2025,7:0 PM,"$0.43"
8/24/2025,8:0 PM,"$0.48"
8/24/2025,9:0 PM,"$0.21"
8/24/2025,10:0 PM,"$0.23"
8/24/2025,11:0 PM,"$0.25"
8/25/2025,12:0 AM,"$0.17"
8/25/2025,1:0 AM,"$0.17"
8/25/2025,2:0 AM,"$0.16"
8/25/2025,3:0 AM,"$0.15"
8/25/2025,4:0 AM,"$0.21"
8/25/2025,5:0 AM,"$0.14"
8/25/2025,6:0 AM,"$0.14"
8/25/2025,7:0 AM,"$0.13"
8/25/2025,8:0 AM,"$0.15"
8/25/2025,9:0 AM,"$0.36"
8/25/2025,10:0 AM,"$0.62"
8/25/2025,11:0 AM,"$0.58"
8/25/2025,12:0 PM,"$0.56"
8/25/2025,1:0 PM,"$0.62"
8/25/2025,2:0 PM,"$0.34"
8/25/2025,3:0 PM,"$0.30"
8/25/2025,4:0 PM,"$0.19"
8/25/2025,5:0 PM,"$0.17"
8/25/2025,6:0 PM,"$0.16"
8/25/2025,7:0 PM,"$0.15"
8/25/2025,8:0 PM,"$0.22"
8/25/2025,9:0 PM,"$0.22"
8/25/2025,10:0 PM,"$0.20"
8/25/2025,11:0 PM,"$0.15"
8/26/2025,12:0 AM,"$0.17"
8/26/2025,1:0 AM,"$0.12"
8/26/2025,2:0 AM,"$0.07"
8/26/2025,3:0 AM,"$0.11"
8/26/2025,4:0 AM,"$0.11"
8/26/2025,5:0 AM,"$0.11"
8/26/2025,6:0 AM,"$0.10"
8/26/2025,7:0 AM,"$0.05"
8/26/2025,8:0 AM,"$0.19"
8/26/2025,9:0 AM,"$0.24"
8/26/2025,10:0 AM,"$0.14"
8/26/2025,11:0 AM,"$0.16"
8/26/2025,12:0 PM,"$0.12"
8/26/2025,1:0 PM,"$0.13"
8/26/2025,2:0 PM,"$0.14"
8/26/2025,3:0 PM,"$0.21"
8/26/2025,4:0 PM,"$0.24"
8/26/2025,5:0 PM,"$0.17"
8/26/2025,6:0 PM,"$0.16"
8/26/2025,7:0 PM,"$0.14"
8/26/2025,8:0 PM,"$0.14"
8/26/2025,9:0 PM,"$0.34"
8/26/2025,10:0 PM,"$0.18"
8/26/2025,11:0 PM,"$0.12"
8/27/2025,12:0 AM,"$0.19"
8/27/2025,1:0 AM,"$0.12"
8/27/2025,2:0 AM,"$0.11"
8/27/2025,3:0 AM,"$0.10"
8/27/2025,4:0 AM,"$0.10"
8/27/2025,5:0 AM,"$0.10"
8/27/2025,6:0 AM,"$0.10"
8/27/2025,7:0 AM,"$0.05"
8/27/2025,8:0 AM,"$0.15"
8/27/2025,9:0 AM,"$0.09"
8/27/2025,10:0 AM,"$0.11"
8/27/2025,11:0 AM,"$0.10"
8/27/2025,12:0 PM,"$0.05"
8/27/2025,1:0 PM,"$0.05"
8/27/2025,2:0 PM,"$0.04"
8/27/2025,3:0 PM,"$0.04"
8/27/2025,4:0 PM,"$0.11"
8/27/2025,5:0 PM,"$0.04"
8/27/2025,6:0 PM,"$0.37"
8/27/2025,7:0 PM,"$0.29"
8/27/2025,8:0 PM,"$0.29"
8/27/2025,9:0 PM,"$0.16"
8/27/2025,10:0 PM,"$0.12"
8/27/2025,11:0 PM,"$0.18"
8/28/2025,12:0 AM,"$0.12"
8/28/2025,1:0 AM,"$0.12"
8/28/2025,2:0 AM,"$0.17"
8/28/2025,3:0 AM,"$0.12"
8/28/2025,4:0 AM,"$0.09"
8/28/2025,5:0 AM,"$0.10"
8/28/2025,6:0 AM,"$0.10"
8/28/2025,7:0 AM,"$0.10"
8/28/2025,8:0 AM,"$0.07"
8/28/2025,9:0 AM,"$0.13"
8/28/2025,10:0 AM,"$0.34"
8/28/2025,11:0 AM,"$0.11"
8/28/2025,12:0 PM,"$0.17"
8/28/2025,1:0 PM,"$0.10"
8/28/2025,2:0 PM,"$0.05"
8/28/2025,3:0 PM,"$0.05"
8/28/2025,4:0 PM,"$0.05"
8/28/2025,5:0 PM,"$0.05"
8/28/2025,6:0 PM,"$0.05"
8/28/2025,7:0 PM,"$0.35"
8/28/2025,8:0 PM,"$0.32"
8/28/2025,9:0 PM,"$0.46"
8/28/2025,10:0 PM,"$0.45"
8/28/2025,11:0 PM,"$0.30"
8/29/2025,12:0 AM,"$0.19"
8/29/2025,1:0 AM,"$0.11"
8/29/2025,2:0 AM,"$0.17"
8/29/2025,3:0 AM,"$0.10"
8/29/2025,4:0 AM,"$0.10"
8/29/2025,5:0 AM,"$0.11"
8/29/2025,6:0 AM,"$0.06"
8/29/2025,7:0 AM,"$0.17"
8/29/2025,8:0 AM,"$0.11"
8/29/2025,9:0 AM,"$0.05"
8/29/2025,10:0 AM,"$0.05"
8/29/2025,11:0 AM,"$0.05"
8/29/2025,12:0 PM,"$0.08"
8/29/2025,1:0 PM,"$0.08"
8/29/2025,2:0 PM,"$0.13"
8/29/2025,3:0 PM,"$0.20"
8/29/2025,4:0 PM,"$0.22"
8/29/2025,5:0 PM,"$0.32"
8/29/2025,6:0 PM,"$0.19"
8/29/2025,7:0 PM,"$0.20"
8/29/2025,8:0 PM,"$0.53"
8/29/2025,9:0 PM,"$0.31"
8/29/2025,10:0 PM,"$0.19"
8/29/2025,11:0 PM,"$0.12"
8/30/2025,12:0 AM,"$0.25"
8/30/2025,1:0 AM,"$0.17"
8/30/2025,2:0 AM,"$0.12"
8/30/2025,3:0 AM,"$0.11"
8/30/2025,4:0 AM,"$0.12"
8/30/2025,5:0 AM,"$0.11"
8/30/2025,6:0 AM,"$0.11"
8/30/2025,7:0 AM,"$0.10"
8/30/2025,8:0 AM,"$0.11"
8/30/2025,9:0 AM,"$0.18"
8/30/2025,10:0 AM,"$0.11"
8/30/2025,11:0 AM,"$0.11"
8/30/2025,12:0 PM,"$0.12"
8/30/2025,1:0 PM,"$0.13"
8/30/2025,2:0 PM,"$0.31"
8/30/2025,3:0 PM,"$0.28"
8/30/2025,4:0 PM,"$0.19"
8/30/2025,5:0 PM,"$0.31"
8/30/2025,6:0 PM,"$0.33"
8/30/2025,7:0 PM,"$0.61"
8/30/2025,8:0 PM,"$0.33"
8/30/2025,9:0 PM,"$0.21"
8/30/2025,10:0 PM,"$0.28"
8/30/2025,11:0 PM,"$0.21"
8/31/2025,12:0 AM,"$0.13"
8/31/2025,1:0 AM,"$0.16"
8/31/2025,2:0 AM,"$0.13"
8/31/2025,3:0 AM,"$0.11"
8/31/2025,4:0 AM,"$0.11"
8/31/2025,5:0 AM,"$0.12"
8/31/2025,6:0 AM,"$0.18"
8/31/2025,7:0 AM,"$0.10"
8/31/2025,8:0 AM,"$0.12"
8/31/2025,9:0 AM,"$0.12"
8/31/2025,10:0 AM,"$0.15"
8/31/2025,11:0 AM,"$0.12"
8/31/2025,12:0 PM,"$0.18"
8/31/2025,1:0 PM,"$0.42"
8/31/2025,2:0 PM,"$0.31"
8/31/2025,3:0 PM,"$0.42"
8/31/2025,4:0 PM,"$0.42"
8/31/2025,5:0 PM,"$0.37"
8/31/2025,6:0 PM,"$0.41"
8/31/2025,7:0 PM,"$0.24"
8/31/2025,8:0 PM,"$0.26"
8/31/2025,9:0 PM,"$0.45"
8/31/2025,10:0 PM,"$0.17"
8/31/2025,11:0 PM,"$0.16"
9/1/2025,12:0 AM,"$0.25"
9/1/2025,1:0 AM,"$0.12"
9/1/2025,2:0 AM,"$0.11"
9/1/2025,3:0 AM,"$0.16"
9/1/2025,4:0 AM,"$0.11"
9/1/2025,5:0 AM,"$0.11"
9/1/2025,6:0 AM,"$0.11"
9/1/2025,7:0 AM,"$0.11"
9/1/2025,8:0 AM,"$0.11"
9/1/2025,9:0 AM,"$0.17"
9/1/2025,10:0 AM,"$0.05"
9/1/2025,11:0 AM,"$0.19"
9/1/2025,12:0 PM,"$0.15"
9/1/2025,1:0 PM,"$0.28"
9/1/2025,2:0 PM,"$0.28"
9/1/2025,3:0 PM,"$0.26"
9/1/2025,4:0 PM,"$0.25"
9/1/2025,5:0 PM,"$0.10"
9/1/2025,6:0 PM,"$0.13"
9/1/2025,7:0 PM,"$0.22"
9/1/2025,8:0 PM,"$0.32"
9/1/2025,9:0 PM,"$0.25"
9/1/2025,10:0 PM,"$0.18"
9/1/2025,11:0 PM,"$0.13"
9/2/2025,12:0 AM,"$0.16"
9/2/2025,1:0 AM,"$0.14"
9/2/2025,2:0 AM,"$0.11"
9/2/2025,3:0 AM,"$0.11"
9/2/2025,4:0 AM,"$0.12"
9/2/2025,5:0 AM,"$0.18"
9/2/2025,6:0 AM,"$0.11"
9/2/2025,7:0 AM,"$0.12"
9/2/2025,8:0 AM,"$0.18"
9/2/2025,9:0 AM,"$0.26"
9/2/2025,10:0 AM,"$0.58"
9/2/2025,11:0 AM,"$0.32"
9/2/2025,12:0 PM,"$0.69"
9/2/2025,1:0 PM,"$0.60"
9/2/2025,2:0 PM,"$0.33"
9/2/2025,3:0 PM,"$0.73"
9/2/2025,4:0 PM,"$0.36"
9/2/2025,5:0 PM,"$0.28"
9/2/2025,6:0 PM,"$0.55"
9/2/2025,7:0 PM,"$0.26"
9/2/2025,8:0 PM,"$0.23"
9/2/2025,9:0 PM,"$0.28"
9/2/2025,10:0 PM,"$0.19"
9/2/2025,11:0 PM,"$0.14"
9/3/2025,12:0 AM,"$0.21"
9/3/2025,1:0 AM,"$0.17"
9/3/2025,2:0 AM,"$0.12"
9/3/2025,3:0 AM,"$0.11"
9/3/2025,4:0 AM,"$0.11"
9/3/2025,5:0 AM,"$0.10"
9/3/2025,6:0 AM,"$0.11"
9/3/2025,7:0 AM,"$0.10"
9/3/2025,8:0 AM,"$0.13"
9/3/2025,9:0 AM,"$0.19"
9/3/2025,10:0 AM,"$0.12"
9/3/2025,11:0 AM,"$0.17"
9/3/2025,12:0 PM,"$0.14"
9/3/2025,1:0 PM,"$0.18"
9/3/2025,2:0 PM,"$0.20"
9/3/2025,3:0 PM,"$0.20"
9/3/2025,4:0 PM,"$0.21"
9/3/2025,5:0 PM,"$0.44"
9/3/2025,6:0 PM,"$0.18"
9/3/2025,7:0 PM,"$0.33"
9/3/2025,8:0 PM,"$0.20"
9/3/2025,9:0 PM,"$0.18"
9/3/2025,10:0 PM,"$0.13"
9/3/2025,11:0 PM,"$0.24"
9/4/2025,12:0 AM,"$0.11"
9/4/2025,1:0 AM,"$0.11"
9/4/2025,2:0 AM,"$0.09"
9/4/2025,3:0 AM,"$0.07"
9/4/2025,4:0 AM,"$0.10"
9/4/2025,5:0 AM,"$0.11"
9/4/2025,6:0 AM,"$0.11"
9/4/2025,7:0 AM,"$0.09"
9/4/2025,8:0 AM,"$0.11"
9/4/2025,9:0 AM,"$0.41"
9/4/2025,10:0 AM,"$0.22"
9/4/2025,11:0 AM,"$0.25"
9/4/2025,12:0 PM,"$0.15"
9/4/2025,1:0 PM,"$0.25"
9/4/2025,2:0 PM,"$0.20"
9/4/2025,3:0 PM,"$0.14"
9/4/2025,4:0 PM,"$0.17"
9/4/2025,5:0 PM,"$0.51"
9/4/2025,6:0 PM,"$0.40"
9/4/2025,7:0 PM,"$0.20"
9/4/2025,8:0 PM,"$0.36"
9/4/2025,9:0 PM,"$0.12"
9/4/2025,10:0 PM,"$0.38"
9/4/2025,11:0 PM,"$0.14"
9/5/2025,12:0 AM,"$0.13"
9/5/2025,1:0 AM,"$0.11"
9/5/2025,2:0 AM,"$0.11"
9/5/2025,3:0 AM,"$0.11"
9/5/2025,4:0 AM,"$0.13"
9/5/2025,5:0 AM,"$0.10"
9/5/2025,6:0 AM,"$0.10"
9/5/2025,7:0 AM,"$0.05"
9/5/2025,8:0 AM,"$0.13"
9/5/2025,9:0 AM,"$0.13"
9/5/2025,10:0 AM,"$0.14"
9/5/2025,11:0 AM,"$0.17"
9/5/2025,12:0 PM,"$0.16"
9/5/2025,1:0 PM,"$0.17"
9/5/2025,2:0 PM,"$0.12"
9/5/2025,3:0 PM,"$0.19"
9/5/2025,4:0 PM,"$0.22"
9/5/2025,5:0 PM,"$0.21"
9/5/2025,6:0 PM,"$0.15"
9/5/2025,7:0 PM,"$0.14"
9/5/2025,8:0 PM,"$0.14"
9/5/2025,9:0 PM,"$0.11"
9/5/2025,10:0 PM,"$0.15"
9/5/2025,11:0 PM,"$0.11"
9/6/2025,12:0 AM,"$0.08"
9/6/2025,1:0 AM,"$0.07"
9/6/2025,2:0 AM,"$0.19"
9/6/2025,3:0 AM,"$0.10"
9/6/2025,4:0 AM,"$0.06"
9/6/2025,5:0 AM,"$0.10"
9/6/2025,6:0 AM,"$0.10"
9/6/2025,7:0 AM,"$0.05"
9/6/2025,8:0 AM,"$0.10"
9/6/2025,9:0 AM,"$0.07"
9/6/2025,10:0 AM,"$0.05"
9/6/2025,11:0 AM,"$0.12"
9/6/2025,12:0 PM,"$0.05"
9/6/2025,1:0 PM,"$0.05"
9/6/2025,2:0 PM,"$0.05"
9/6/2025,3:0 PM,"$0.04"
9/6/2025,4:0 PM,"$0.04"
9/6/2025,5:0 PM,"$0.10"
9/6/2025,6:0 PM,"$0.39"
9/6/2025,7:0 PM,"$0.61"
9/6/2025,8:0 PM,"$0.21"
9/6/2025,9:0 PM,"$0.21"
9/6/2025,10:0 PM,"$0.23"
9/6/2025,11:0 PM,"$0.26"
9/7/2025,12:0 AM,"$0.19"
9/7/2025,1:0 AM,"$0.12"
9/7/2025,2:0 AM,"$0.12"
9/7/2025,3:0 AM,"$0.11"
9/7/2025,4:0 AM,"$0.18"
9/7/2025,5:0 AM,"$0.11"
9/7/2025,6:0 AM,"$0.11"
9/7/2025,7:0 AM,"$0.08"
9/7/2025,8:0 AM,"$0.12"
9/7/2025,9:0 AM,"$0.12"
9/7/2025,10:0 AM,"$0.21"
9/7/2025,11:0 AM,"$0.26"
9/7/2025,12:0 PM,"$0.24"
9/7/2025,1:0 PM,"$0.24"
9/7/2025,2:0 PM,"$0.29"
9/7/2025,3:0 PM,"$0.65"
9/7/2025,4:0 PM,"$0.51"
9/7/2025,5:0 PM,"$0.46"
9/7/2025,6:0 PM,"$0.35"
9/7/2025,7:0 PM,"$0.34"
9/7/2025,8:0 PM,"$0.77"
9/7/2025,9:0 PM,"$0.31"
9/7/2025,10:0 PM,"$0.24"
9/7/2025,11:0 PM,"$0.20"
9/8/2025,12:0 AM,"$0.12"
9/8/2025,1:0 AM,"$0.18"
9/8/2025,2:0 AM,"$0.14"
9/8/2025,3:0 AM,"$0.12"
9/8/2025,4:0 AM,"$0.12"
9/8/2025,5:0 AM,"$0.17"
9/8/2025,6:0 AM,"$0.11"
9/8/2025,7:0 AM,"$0.11"
9/8/2025,8:0 AM,"$0.10"
9/8/2025,9:0 AM,"$0.68"
9/8/2025,10:0 AM,"$0.69"
9/8/2025,11:0 AM,"$0.40"
9/8/2025,12:0 PM,"$0.30"
9/8/2025,1:0 PM,"$0.18"
9/8/2025,2:0 PM,"$0.61"
9/8/2025,3:0 PM,"$0.46"
9/8/2025,4:0 PM,"$0.28"
9/8/2025,5:0 PM,"$0.23"
9/8/2025,6:0 PM,"$0.25"
9/8/2025,7:0 PM,"$0.18"
9/8/2025,8:0 PM,"$0.19"
9/8/2025,9:0 PM,"$0.18"
9/8/2025,10:0 PM,"$0.20"
9/8/2025,11:0 PM,"$0.14"
9/9/2025,12:0 AM,"$0.19"
9/9/2025,1:0 AM,"$0.12"
9/9/2025,2:0 AM,"$0.11"
9/9/2025,3:0 AM,"$0.12"
9/9/2025,4:0 AM,"$0.22"
9/9/2025,5:0 AM,"$0.10"
9/9/2025,6:0 AM,"$0.07"
9/9/2025,7:0 AM,"$0.10"
9/9/2025,8:0 AM,"$0.10"
9/9/2025,9:0 AM,"$0.10"
9/9/2025,10:0 AM,"$0.21"
9/9/2025,11:0 AM,"$0.10"
9/9/2025,12:0 PM,"$0.10"
9/9/2025,1:0 PM,"$0.05"
9/9/2025,2:0 PM,"$0.05"
9/9/2025,3:0 PM,"$0.06"
9/9/2025,4:0 PM,"$0.41"
9/9/2025,5:0 PM,"$0.53"
9/9/2025,6:0 PM,"$0.35"
9/9/2025,7:0 PM,"$0.25"
9/9/2025,8:0 PM,"$0.37"
9/9/2025,9:0 PM,"$0.18"
9/9/2025,10:0 PM,"$0.20"
9/9/2025,11:0 PM,"$0.15"
9/10/2025,12:0 AM,"$0.23"
9/10/2025,1:0 AM,"$0.16"
9/10/2025,2:0 AM,"$0.13"
9/10/2025,3:0 AM,"$0.11"
9/10/2025,4:0 AM,"$0.11"
9/10/2025,5:0 AM,"$0.10"
9/10/2025,6:0 AM,"$0.10"
9/10/2025,7:0 AM,"$0.11"
9/10/2025,8:0 AM,"$0.12"
9/10/2025,9:0 AM,"$0.36"
9/10/2025,10:0 AM,"$0.15"
9/10/2025,11:0 AM,"$0.05"
9/10/2025,12:0 PM,"$0.12"
9/10/2025,1:0 PM,"$0.05"
9/10/2025,2:0 PM,"$0.05"
9/10/2025,3:0 PM,"$0.05"
9/10/2025,4:0 PM,"$0.05"
